"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.108.10.3 (SECURED CAESAR2)","Agencia Lourdes","Lexmark MX722adhe","746411402487Z","52","CAB2513910B8","22160","55000","4","1","2026-07-06T18:42:45.000+00:00","34","CAB251181F18","150000","24","225000","Aceptar"
"10.108.10.23 (SECURED CAESAR2)","Agencia Lourdes","Lexmark MX722adhe","746414302515B","73","CAB252802EEC","10256","55000","8","3","2026-08-18T05:00:00.000+00:00","70","CAB2535011E8","150000","71","225000","Aceptar"
"10.108.11.3 (SECURED CAESAR2)","Agencia Plaza Soyapango","Lexmark MX722adhe","7464126024CN9","5","CAB252802E9A","39664","55000","5","3","2026-06-23T15:17:29.000+00:00","85","CAB242814ECC","150000","89","225000","Advertencia"
"10.108.12.13 (UNSECURED CAESAR1)","Agencia El Paseo","Lexmark MX511de","70157GHH1TT52","22","CAB25188291D","13120","20000","5","4","2025-11-12T16:38:33.000+00:00","27","CAB23353118A","60000","60","200000","Aceptar"
"10.108.12.33 (SECURED CAESAR2)","Agencia El Paseo","Lexmark MX622adhe","701823840HD74","82","CAB25272145A","4099","25000","9","2","2026-09-08T16:10:33.000+00:00","4","CAB2431156FF","60000","66","200000","Advertencia"
"10.108.13.3 (SECURED CAESAR2)","Agencia Santa Tecla","Lexmark MX722adhe","7464035023LNL","24","CAB252802F26","35466","55000","5","1","2026-06-24T23:03:28.000+00:00","51","CAB242814E91","150000","100","225000","Aceptar"
"10.108.13.127 (UNSECURED CAESAR2)","Agencia Santa Tecla","Lexmark MX522adhe","701723640WK14","47","CAB2527215D6","11800","25000","7","4","2026-07-13T06:00:00.000+00:00","42","CAB25027751F","60000","92","200000","Aceptar"
"10.108.14.3 (UNSECURED CAESAR2)","Agencia Centro","Lexmark MX722adhe","7464126024CKN","100","CAB252802F21","1087","55000","5","2","2026-09-17T18:36:42.000+00:00","29","CAD211697683","150000","52","225000","Aceptar"
"10.108.14.135 (SECURED CAESAR2)","Agencia Centro","Lexmark MX722adhe","74649480231W0","36","CAB251364D1E","21760","55000","7","2","2025-10-07T17:10:58.000+00:00","92","CAB24281501D","150000","24","225000","Aceptar"
"10.108.15.3 (SECURED CAESAR2)","Agencia 25 av Nte","Lexmark MX722adhe","7464035023LTX","44","CAB2513910C5","26943","55000","6","5","2026-07-14T18:27:23.000+00:00","42","CAB242814EC0","150000","74","225000","Aceptar"
"10.108.15.11 (SECURED CAESAR2)","Agencia 25 av Nte","Lexmark MX522adhe","701723640WHFD","12","CAD222394C3D","4444","6000","7","3","2023-06-29T17:40:47.000+00:00","86","CAD222402E1F","60000","100","200000","Advertencia"
"10.108.15.33 (UNSECURED CAESAR1)","Agencia 25 av Nte","Lexmark MX511de","70157GHH1TT2F","66","CAB253292DD8","6942","20000","4","2","2026-05-06T16:06:23.000+00:00","29","CAB241721624","60000","51","200000","Aceptar"
"10.108.15.44 (UNSECURED CAESAR1)","Agencia 25 av Nte","Lexmark MX511de","70157GHH1TKX4","44","CAB251890047","7447","20000","6","4","2026-01-19T14:40:04.000+00:00","35","CAB241721603","60000","60","200000","Aceptar"
"10.108.15.45 (SECURED CAESAR2)","Agencia 25 av Nte","Lexmark MX722adhe","7464126024CLD","51","CAB251390103","23560","55000","4","1","2026-06-25T17:19:18.000+00:00","3","CAB241791CFF","150000","67","225000","Advertencia"
"10.108.16.3 (SECURED CAESAR2)","Agencia Sonsonate Centro","Lexmark MX722adhe","7464112024866","90","CAB253260135","5047","55000","5","6","2026-09-07T18:28:29.000+00:00","100","CAB261136F3D","150000","20","225000","Aceptar"
"10.108.18.33 (SECURED CAESAR2)","Agencia Los Proceres","Lexmark MX722adhe","746485002161X","19","CAB251391094","33399","55000","6","5","2026-06-09T18:54:18.000+00:00","22","CAB2504212AD","150000","46","225000","Aceptar"
