"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"22.98.136.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Nueva Concepcion","Lexmark MS811","40635C6600FMT","70","CAB24215662E","9580","45000","6","5","2025-09-30T22:36:41.000+00:00","100","CAB251620289","100000","60","200000","Aceptar"
"22.98.136.147 (UNSECURED CAESAR1)","Despensa Familiar Nueva Concepcion","Lexmark MX511de","70157GHH1HV3N","11","CAB25189008C","18148","20000","3","6","2026-01-10T11:04:29.000+00:00","100","CAB2535014B5","60000","100","200000","Aceptar"
"22.98.144.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar El Transito","Lexmark MS811","40638D6602RFX","65","CAB222375B44","17754","45000","4","2","2023-02-22T20:09:16.000+00:00","82","CAB182355225","100000","40","200000","Aceptar"
"22.98.144.147 (UNSECURED CAESAR1)","Despensa Familiar El Transito","Lexmark MX511de","70157GHH1HR8X","47","CAB253292C81","10542","20000","4","2","2026-04-02T11:55:21.000+00:00","13","CAB24214640B","60000","88","200000","Aceptar"
"22.98.152.146 (UNSECURED CAESAR1_LITE)","Despensa Familiar Apopa Pericentro","Lexmark MS811","40637D6604WK0","50","CAB243102DE0","35646","45000","3","2","2025-02-13T22:18:52.000+00:00","77","CAB250711AB0","100000","42","200000","Aceptar"
"22.98.152.147 (UNSECURED CAESAR1)","Despensa Familiar Apopa Pericentro","Lexmark MX511de","70157GHH1RF4L","37","CAB2506464BD","8629","20000","4","2","2025-12-22T15:35:22.000+00:00","23","CAB222854F38","60000","26","200000","Aceptar"
"22.98.160.122 (UNSECURED CAESAR2)","Maxi Despensa San Marcos","Lexmark MS823dn","4064847013XC1","100","CAB2332568CF","40296","55000","2","1","2024-03-05T15:52:11.000+00:00","68","CAD1831862FC","150000","77","225000",""
"22.98.160.123 (UNSECURED CAESAR1_LITE)","Maxi Despensa San Marcos","Lexmark MS811","40637D6604WCP","36","CAB241483D65","47472","45000","3","7","2025-01-27T22:06:11.000+00:00","1","CAB230383AAF","100000","22","200000","Aceptar"
"22.98.160.147 (UNSECURED CAESAR1)","Maxi Despensa San Marcos","Lexmark MX511de","70157GHH1RF6B","2","CAB253292C37","19468","20000","3","2","2026-04-21T18:34:14.000+00:00","4","CAB242223EFB","60000","46","200000","Aceptar"
"22.98.176.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Olocuilta","Lexmark MS811","406347990KD28","81","CAB251742F2F","8381","45000","5","4","2026-01-02T19:58:25.000+00:00","90","CAB2507111E2","100000","73","200000","Aceptar"
"22.98.176.147 (UNSECURED CAESAR1)","Despensa Familiar Olocuilta","Lexmark MX511de","70157GHH1HV2V","54","CAB25133106C","11699","20000","3","8","2026-01-07T17:57:12.000+00:00","29","CAB193163938","60000","11","200000","Aceptar"
