"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.105.12.18 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TNG9","14","CAD1731518FA","2815","5000","6","7","2021-11-11T14:29:27.000+00:00","88","CAB200373D3A","60000","100","200000","Advertencia"
"10.105.12.36 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TT65","2","CAB2506469E1","19769","20000","5","6","2025-07-14T14:16:12.000+00:00","100","CAB25351034E","60000","28","200000","Advertencia"
"10.105.12.65 (SECURED CAESAR2)","Edificio C","Lexmark CX725","75281450H6LVT","3","CAB24173252C","21239","25000","3","4","2026-01-08T16:03:46.000+00:00","","","","","","Aceptar"
"10.105.12.73 (UNSECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TP1P","100","CAB261144A21","182","20000","12","14","2026-09-21T18:10:33.000+00:00","48","CAB242223FA5","60000","85","200000","Aceptar"
"10.105.13.3 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TT6X","55","CAB25064635F","4674","20000","8","4","2026-04-21T13:57:59.000+00:00","60","CAB242223E4E","60000","69","200000","Aceptar"
"10.105.13.24 (SECURED CAESAR2)","Edificio D","Lexmark MX622adhe","701823840HD6L","21","CAB23303220E","16236","25000","6","2","2023-12-28T21:28:49.000+00:00","60","CAD222572271","60000","90","200000","Aceptar"
"10.105.13.32 (SECURED CAESAR2)","Edificio D","Lexmark MX522adhe","701724540X8HN","68","CAB242827069","6923","25000","7","7","2026-04-07T16:52:39.000+00:00","39","CAD2135673DF","60000","52","200000","Aceptar"
"10.105.13.50 (SECURED CAESAR2)","Edificio D","Lexmark MX522adhe","701723740WPMH","62","CAB24352123F","7267","25000","6","6","2025-11-05T17:38:40.000+00:00","59","CAB24008544B","60000","77","200000","Aceptar"
"10.105.13.61 (SECURED CAESAR2)","Edificio D","Lexmark CX522ade","752922714LYLL","32","CAB250700ED2","2842","8500","6","10","2025-08-13T16:12:08.000+00:00","89","CAD2217440C4","125000","91","125000","Aceptar"
"10.105.14.3 (SECURED CAESAR2)","Edificio D","Lexmark CX522ade","752910514BZ1R","30","CAB242787978","3346","8500","6","10","2025-01-10T21:27:02.000+00:00","82","CAD210331B50","125000","87","125000","Advertencia"
"10.105.15.32 (SECURED CAESAR2)","Edificio D","Lexmark MX722adhe","7464035023LTV","34","CAB241641531","43867","55000","4","5","2024-10-30T22:27:23.000+00:00","43","CAD220627156","150000","62","225000","Aceptar"
"10.105.15.33 (SECURED CAESAR2)","Edificio D","Lexmark MX722adhe","7464126024CL4","23","CAB251364E65","33960","55000","6","11","2025-10-29T14:44:22.000+00:00","6","CAB23363227D","150000","72","225000","Aceptar"
"10.105.15.47 (SECURED CAESAR2)","Edificio D","Lexmark CX725","75281450H6LX0","100","CAB24173266A","600","25000","5","5","2026-07-07T17:10:53.000+00:00","","","","","","Advertencia"
"10.105.15.50 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TT7M","45","CAB2335234B9","8314","20000","5","4","2024-07-24T18:19:20.000+00:00","54","CAB231812527","60000","33","200000","Aceptar"
"10.105.15.61 (SECURED CAESAR2)","Edificio D","Lexmark MX722adhe","7464126024F14","12","CAB242884920","37322","55000","5","3","2025-06-30T22:56:31.000+00:00","25","CAD22339588E","150000","83","225000","Advertencia"
"10.105.21.12 (SECURED CAESAR2)","Edificio C","Lexmark MX622adhe","701823840HD6R","66","CAB242000C17","10281","25000","5","10","2025-10-08T15:26:52.000+00:00","85","CAB242717C9A","60000","67","200000","Aceptar"
"10.105.21.25 (SECURED CAESAR2)","Edificio C","Lexmark MX722adhe","7464126024DW7","61","CAB252802E1C","28889","55000","4","4","2026-08-10T15:28:33.000+00:00","60","CAB242814F61","150000","43","225000","Aceptar"
"10.105.21.70 (UNSECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1TT4Y","53","CAB25188291A","5920","20000","8","6","2026-01-23T16:00:56.000+00:00","65","CAB2418677FD","60000","58","200000","Aceptar"
"10.105.21.81 (SECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1TT0V","77","CAB253292C56","3849","20000","5","3","2026-06-15T20:42:21.000+00:00","41","CAB242146381","60000","59","200000","Aceptar"
"10.105.22.15 (SECURED CAESAR2)","Edificio C","Lexmark MX522adhe","701724540X8W6","16","CAB2435212C5","25949","25000","6","1","2026-01-27T14:41:51.000+00:00","11","CAD212676E95","60000","20","200000","Aceptar"
"10.105.22.18 (SECURED CAESAR2)","Edificio C","Lexmark MX722adhe","7464126024CK1","71","CAB241446208","12031","55000","6","3","2025-07-08T20:19:41.000+00:00","71","CAB241791D3E","150000","48","225000","Aceptar"
"10.105.22.20 (SECURED CAESAR2)","Edificio C","Lexmark MX522adhe","701723640WK27","48","CAB242826F54","12248","25000","8","7","2026-08-14T05:00:00.000+00:00","5","CAB24310411D","60000","94","200000","Advertencia"
"10.105.22.31 (UNSECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1TP1R","40","CAB250646328","7029","20000","7","4","2025-11-18T16:47:12.000+00:00","5","CAB222854FD8","60000","34","200000","Advertencia"
