"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.60.185.139 (UNSECURED CAESAR1_LITE)","CD San Juan","Lexmark MS811","40635C66065NK","70","CAB230763C5A","14086","45000","4","2","2023-10-31T15:27:57.000+00:00","76","CAB221990D63","100000","74","200000","Aceptar"
"10.60.185.206 (UNSECURED CAESAR1)","CD San Juan","Lexmark MX511de","70157GHH1TP1Z","27","CAB253292A9A","8018","20000","7","6","2026-06-09T13:20:30.000+00:00","37","CAB242223FB6","60000","55","200000","Aceptar"
"10.80.101.70 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","7463479905ZVX","79","CAB243102E45","7234","45000","5","2","2025-05-21T20:17:55.000+00:00","48","CAB2331470C7","100000","39","200000","Aceptar"
"10.80.101.82 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C66010BL","25","CAB2308818F7","15207","45000","9","4","2024-07-31T22:00:47.000+00:00","52","CAB221990E03","100000","51","200000","Aceptar"
"10.80.105.38 (UNSECURED CAESAR1)","Home Office","Lexmark MX511de","70157GHH1TNGH","59","CAB24292374B","7231","20000","5","4","2024-06-28T23:37:02.000+00:00","81","CAB241870187","60000","100","200000","Aceptar"
"10.80.105.54 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C660108Z","78","CAB251411CC3","10770","45000","4","6","2025-12-11T14:35:58.000+00:00","52","CAB230383A6B","100000","26","200000","Aceptar"
"10.80.105.65 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C660167B","27","CAB250220F69","37106","45000","1","3","2026-05-06T16:21:10.000+00:00","31","CAB2502801C1","100000","71","200000","Aceptar"
"10.80.105.73 (UNSECURED CAESAR2)","Home Office","Lexmark MX722adhe","7464502128TD8","48","CAB250486E80","3271","11000","7","8","2025-07-15T22:31:46.000+00:00","100","CAB2505056F0","150000","100","225000","Aceptar"
"10.80.105.117 (UNSECURED CAESAR2)","Home Office","Lexmark CS521dn","502923903THCZ","","CAB220420457","8216","10500","4","6","2026-01-28T22:05:22.000+00:00","84","CAH2400507BF","125000","87","125000","Advertencia"
"10.80.105.119 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C66015XL","56","CAB1926040F1","14654","45000","6","2","2020-08-10T17:00:52.000+00:00","93","CAB223081DD5","100000","52","200000","Aceptar"
